product_url,product_name,brand,star_rating,sale_price,colour,categorie,sous_categorie,pratique
https://decathlon-usa.myshopify.com/products/womens-ski-base-layer-simple-warm-long-johns?adept-product=womens-ski-base-layer-simple-warm-long-johns,100 Base Layer Ski Pants Women's,Wedze,4.4,9.99,Black,Vêtements,T-shirt,Ski
https://decathlon-usa.myshopify.com/products/womens-ski-simple-warm-base-layer?adept-product=womens-ski-simple-warm-base-layer,Thermal Underwear Base Layer Top Women's,Wedze,4.5,8.0,Black,Vêtements,T-shirt,Autres
https://decathlon-usa.myshopify.com/products/100-ski-jacket-mens-144130?adept-product=100-ski-jacket-mens-144130,100 Ski Jacket Men's,Wedze,4.6,30.0,Black,Vêtements,Veste,Ski
https://decathlon-usa.myshopify.com/products/forclaz-trek-500-merino-wool-hiking-hat-adult-302969?adept-product=forclaz-trek-500-merino-wool-hiking-hat-adult-302969,Forclaz Trek 500 Merino Wool Hiking Hat Adult,Forclaz,4.6,24.99,Whale Gray,Accessoires,Divers,Randonnée
https://decathlon-usa.myshopify.com/products/womens-freeride-ski-jacket-fr100?adept-product=womens-freeride-ski-jacket-fr100,Wedze FR100 Freeride Ski Jacket Women's,Wedze,4.5,70.0,Light Gray,Vêtements,Veste,Ski
https://decathlon-usa.myshopify.com/products/forclaz-mt100-hooded-down-puffer-jacket-167571?adept-product=forclaz-mt100-hooded-down-puffer-jacket-167571,Forclaz Men's MT100 Hooded Down Puffer Jacket,Forclaz,4.5,89.99,Black,Vêtements,Veste,Autres
https://decathlon-usa.myshopify.com/products/domyos-100-fitness-cardio-training-t-shirt-mens-302873?adept-product=domyos-100-fitness-cardio-training-t-shirt-mens-302873,Men's Breathable Crew Neck Essential Fitness T-Shirt - Mottled Grey,Domyos,4.6,9.99,Bright Indigo,Vêtements,T-shirt,Fitness
https://decathlon-usa.myshopify.com/products/sun-protect-uv-proof-long-sleeved-running-t-shirt-145846?adept-product=sun-protect-uv-proof-long-sleeved-running-t-shirt-145846,Kalenji Sun Protect UV-Proof Long-Sleeved Running T-Shirt Women's,Kalenji,4.7,15.99,Black,Vêtements,T-shirt,Course à pied
https://decathlon-usa.myshopify.com/products/nature-hiking-backpack-10-l-nh100?adept-product=nature-hiking-backpack-10-l-nh100,Arpenaz NH100 Hiking 10 L Backpack,Quechua,4.7,5.99,Dark Blue,Accessoires,Divers,Randonnée
https://decathlon-usa.myshopify.com/products/mens-cardio-fitness-shorts-fst-100-ss19?adept-product=mens-cardio-fitness-shorts-fst-100-ss19,Domyos 100 Men's Breathable Fitness Shorts,Domyos,4.6,12.99,Black,Vêtements,Bas,Fitness
https://decathlon-usa.myshopify.com/products/running-lightweight-shorts-dry-119678?adept-product=running-lightweight-shorts-dry-119678,Kalenji Men's Running Lightweight Shorts Dry,Kalenji,4.4,13.99,Black,Vêtements,Bas,Course à pied
https://decathlon-usa.myshopify.com/products/mountain-backpacking-waterproof-hat-trek900?adept-product=mountain-backpacking-waterproof-hat-trek900,Trek 900 Waterproof Backpacking Hat,Forclaz,4.5,20.0,Carbon Gray,Accessoires,Divers,Randonnée
https://decathlon-usa.myshopify.com/products/ss100-beginner-basketball-shoes-305328?adept-product=ss100-beginner-basketball-shoes-305328,Tarmak SS100 Beginner Basketball Shoes Kids',Tarmak,4.5,14.99,Black,Chaussures,Chaussures de sport,Autres
https://decathlon-usa.myshopify.com/products/racerback-workout-tank-top-8262?adept-product=racerback-workout-tank-top-8262,Racerback Workout Tank Top Women's,Domyos,4.7,7.99,Black,Vêtements,T-shirt,Autres
https://decathlon-usa.myshopify.com/products/forclaz-trek-500-ventilated-hiking-cap-183271?adept-product=forclaz-trek-500-ventilated-hiking-cap-183271,Forclaz Trek 500 Ventilated Hiking Cap,Forclaz,4.5,16.99,Carbon Gray,Vêtements,Veste,Randonnée
https://decathlon-usa.myshopify.com/products/domyos-120-eco-friendly-fitness-cardio-training-shorts-mens-305836?adept-product=domyos-120-eco-friendly-fitness-cardio-training-shorts-mens-305836,Domyos 120 Fitness Training Shorts Men's,Domyos,4.6,14.99,Black,Vêtements,Bas,Fitness
https://decathlon-usa.myshopify.com/products/cycling-tights-100?adept-product=cycling-tights-100,Btwin 100 Road Cycling Tights Men's,Btwin,4.1,10.0,Black,Vêtements,Bas,Cyclisme
https://decathlon-usa.myshopify.com/products/running-breathable-tight-shorts-dry-black-145824?adept-product=running-breathable-tight-shorts-dry-black-145824,Men's Running Breathable Tight Shorts Dry - black,Kalenji,4.5,14.99,Black,Vêtements,Bas,Course à pied
https://decathlon-usa.myshopify.com/products/womens-gym-and-pilates-slim-fit-stretch-leggings-100-ss19?adept-product=womens-gym-and-pilates-slim-fit-stretch-leggings-100-ss19,Women's Slim-Fit Salto Fitness Leggings 100 - Black,Domyos,4.6,9.99,Gray,Vêtements,Bas,Fitness
https://decathlon-usa.myshopify.com/products/mens-travel-backpacking-merino-wool-t-shirt-travel-100-106265?adept-product=mens-travel-backpacking-merino-wool-t-shirt-travel-100-106265,Men's travel backpacking Merino wool t-shirt - TRAVEL 100 - yellow,Forclaz,4.5,39.99,Whale Gray,Vêtements,T-shirt,Autres
https://decathlon-usa.myshopify.com/products/ekiden-running-socks-adult-3-pack-11690?adept-product=ekiden-running-socks-adult-3-pack-11690,Kiprun Ekiden Running Socks Adult 3-pack,Decathlon,4.5,7.99,Snow White,Accessoires,Divers,Course à pied
https://decathlon-usa.myshopify.com/products/run-dry-long-sleeved-half-zip-running-t-shirt-164655?adept-product=run-dry-long-sleeved-half-zip-running-t-shirt-164655,Run Dry+ Long-Sleeved Half-Zip Running T-Shirt Women's,Kalenji,4.7,21.99,Black,Vêtements,T-shirt,Course à pied
https://decathlon-usa.myshopify.com/products/500-piste-ski-jacket-305791?adept-product=500-piste-ski-jacket-305791,Wedze 500 Piste Ski Jacket Women's,Wedze,4.5,70.0,Black,Vêtements,Veste,Ski
https://decathlon-usa.myshopify.com/products/snowboard-jacket-snb-100-grey-303816?adept-product=snowboard-jacket-snb-100-grey-303816,Men's Snowboard Jacket - SNB 100 Grey,Decathlon,4.7,70.0,Lunar Gray,Vêtements,Veste,Ski
https://decathlon-usa.myshopify.com/products/run-wind-running-sleeveless-wind-jacket-121436?adept-product=run-wind-running-sleeveless-wind-jacket-121436,Kalenji Run Wind Running Sleeveless Wind Jacket Men's,Kalenji,4.6,24.99,Black,Vêtements,T-shirt,Course à pied
https://decathlon-usa.myshopify.com/products/womens-d-ski-jacket-180?adept-product=womens-d-ski-jacket-180,Wedze 180 Ski Jacket Women's,Wedze,4.6,60.0,Black,Vêtements,Veste,Ski
https://decathlon-usa.myshopify.com/products/forclaz-trek-100-polyester-backpacking-liner-gloves-146051?adept-product=forclaz-trek-100-polyester-backpacking-liner-gloves-146051,Trek 100 Polyester Backpacking Liner Gloves,Forclaz,4.5,5.99,Black,Accessoires,Divers,Randonnée
https://decathlon-usa.myshopify.com/products/100-downhill-ski-jacket-306605?adept-product=100-downhill-ski-jacket-306605,Wedze 100 Downhill Ski Jacket Women's,Wedze,4.6,25.0,Black,Vêtements,Veste,Ski
https://decathlon-usa.myshopify.com/products/womens-mountain-hiking-waterproof-jacket-mh100?adept-product=womens-mountain-hiking-waterproof-jacket-mh100,Women's waterproof mountain walking jacket MH100,Quechua,4.7,59.99,Gray,Vêtements,Veste,Randonnée
https://decathlon-usa.myshopify.com/products/mens-ski-underwear-top-i-soft?adept-product=mens-ski-underwear-top-i-soft,Ski 580 I-Soft Thermal Underwear Base Layer Top Men's,Wedze,4.6,30.0,Black,Vêtements,T-shirt,Ski
https://decathlon-usa.myshopify.com/products/run-warm-long-sleeve-running-jersey-152557?adept-product=run-warm-long-sleeve-running-jersey-152557,Kalenji Run Warm Long Sleeve Running Jersey Women's,Kalenji,4.7,19.99,Black,Vêtements,T-shirt,Course à pied
